ply,to_play,played,k,n_children,n_survivors,survivors,survivor_N,survivors_are_2,top2_N_equal,top2_N_diff,played_is_survivor,all_N
0,B,F4,4,4,2,F4 E3,12 12,True,True,0,True,F4:12 E3:12 D6:4 C5:4
1,W,D3,3,3,2,D3 F5,14 14,True,True,0,True,D3:14 F5:14 F3:4
2,B,C4,5,5,2,C4 C5,11 11,True,True,0,True,C4:11 C5:11 C3:4 C6:4 C2:2
3,W,F5,4,4,2,F5 B5,12 12,True,True,0,True,F5:12 B5:12 F3:4 B3:4
4,B,E6,5,5,2,E6 D6,11 11,True,True,0,True,E6:11 D6:11 D2:4 E2:4 F6:2
5,W,C3,11,11,2,C5 C3,7 6,True,False,1,True,C5:7 C3:6 F3:4 D6:4 G4:2 C6:2 E7:2 D7:2 G3:1 B5:1 B4:1
6,B,D6,9,9,2,D6 E3,8 7,True,False,1,True,D6:8 E3:7 F6:4 F3:4 G4:2 G5:2 E2:2 D2:2 C2:1
7,W,F6,9,9,2,F6 F3,8 7,True,False,1,True,F6:8 F3:7 C6:4 G4:4 C5:2 E7:2 B4:2 B5:2 D7:1
8,B,E3,9,9,2,E3 G5,8 7,True,False,1,True,E3:8 G5:7 F3:4 G4:4 E2:2 G6:2 D2:2 F7:2 C2:1
9,W,F2,8,8,2,C5 F2,8 8,True,True,0,True,C5:8 F2:8 G4:4 F3:4 B4:2 B5:2 C6:2 D7:2
10,B,G5,9,9,2,G5 G4,8 7,True,False,1,True,G5:8 G4:7 E2:4 D2:4 G6:2 C2:2 F7:2 G7:2 B2:1
11,W,G4,11,11,2,G4 F3,7 6,True,False,1,True,G4:7 F3:6 C5:4 B4:4 E7:2 G6:2 C6:2 B5:2 H4:1 H6:1 D7:1
12,B,G6,12,12,2,F3 G6,6 6,True,True,0,True,F3:6 G6:6 E7:4 H3:4 F7:2 E2:2 D2:2 G3:2 C2:1 H4:1 G7:1 B2:1
13,W,C5,11,11,2,C5 C6,7 6,True,False,1,True,C5:7 C6:6 B4:4 F7:4 H6:2 B5:2 E7:2 C7:2 D7:1 H7:1 G7:1
